party1,party2
noparty,NM;FI;FdI;PD;L
noparty,FdI;M5s
noparty,PD
noparty,PD;AVS
noparty,Az-Iv
noparty,FdI;Az-Iv
noparty,M5s
noparty,L;FdI
noparty,FdI;FI
noparty,PD;Az-Iv
noparty,NM;FdI
