user_id,community_id,comm_label,most_common_party,all_parties
1219891410830270464,0,FdI,Fratelli d'Italia,Fratelli d'Italia
806803817794633728,0,FdI,Fratelli d'Italia,Fratelli d'Italia
295090952,0,FdI,Fratelli d'Italia,Fratelli d'Italia
2786659652,0,FdI,Fratelli d'Italia,Fratelli d'Italia
150725695,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1082242342395043840,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1084076649367437312,0,FdI,Fratelli d'Italia,Fratelli d'Italia
989042576362754048,0,FdI,Fratelli d'Italia,Fratelli d'Italia
14060262,0,FdI,Fratelli d'Italia,Fratelli d'Italia
56457551,0,FdI,Fratelli d'Italia,Fratelli d'Italia
491327107,0,FdI,Fratelli d'Italia,Fratelli d'Italia
428469345,0,FdI,Fratelli d'Italia,Fratelli d'Italia
121406963,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1459430522,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1109829834,0,FdI,Fratelli d'Italia,Fratelli d'Italia
2801547296,0,FdI,Fratelli d'Italia,Fratelli d'Italia
264405682,0,FdI,Fratelli d'Italia,Fratelli d'Italia
446090752,0,FdI,Fratelli d'Italia,Fratelli d'Italia
793420704750440448,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1150384973922349056,0,FdI,Fratelli d'Italia,Fratelli d'Italia
987274838,0,FdI,Fratelli d'Italia,Fratelli d'Italia
88301856,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1033267486500769792,0,FdI,Fratelli d'Italia,Fratelli d'Italia
789536032819650560,0,FdI,Fratelli d'Italia,Fratelli d'Italia
3357339153,0,FdI,Fratelli d'Italia,Fratelli d'Italia
133790890,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1480592966905380864,0,FdI,Fratelli d'Italia,Fratelli d'Italia
2432366232,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1015989050,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1207781245331091456,0,FdI,Fratelli d'Italia,Fratelli d'Italia
460030420,0,FdI,Fratelli d'Italia,Fratelli d'Italia
507938501,0,FdI,Fratelli d'Italia,Fratelli d'Italia
424907383,0,FdI,Fratelli d'Italia,Fratelli d'Italia
416476798,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1083073091327143936,0,FdI,Fratelli d'Italia,Fratelli d'Italia
988825008,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1491122529024552960,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1309478606318469120,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1283766291799715840,0,FdI,Fratelli d'Italia,Fratelli d'Italia
35525950,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1101050610466590720,0,FdI,Fratelli d'Italia,Fratelli d'Italia
3293203413,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1248547729569177600,0,FdI,Fratelli d'Italia,Fratelli d'Italia
2297565537,0,FdI,Fratelli d'Italia,Fratelli d'Italia
948578516982956032,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1139996376060895232,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1521804940888399872,0,FdI,Fratelli d'Italia,Fratelli d'Italia
2280648054,0,FdI,Fratelli d'Italia,Fratelli d'Italia
422209080,0,FdI,Fratelli d'Italia,Fratelli d'Italia
431976775,0,FdI,Fratelli d'Italia,Fratelli d'Italia
735980645273489408,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1038177516,0,FdI,Fratelli d'Italia,Fratelli d'Italia
501620760,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1188049140556750848,0,FdI,Fratelli d'Italia,Fratelli d'Italia
4328992043,0,FdI,Fratelli d'Italia,Fratelli d'Italia
61141361,0,FdI,Fratelli d'Italia,Fratelli d'Italia
725882047,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1515736582271217664,0,FdI,Fratelli d'Italia,Fratelli d'Italia
213254229,0,FdI,Fratelli d'Italia,Fratelli d'Italia
404994604,0,FdI,Fratelli d'Italia,Fratelli d'Italia
177937746,0,FdI,Fratelli d'Italia,Fratelli d'Italia
1163796132,0,FdI,Fratelli d'Italia,Fratelli d'Italia
460504033,0,FdI,Fratelli d'Italia,Fratelli d'Italia
251130873,0,FdI,Fratelli d'Italia,Fratelli d'Italia
396778217,0,FdI,Fratelli d'Italia,Fratelli d'Italia
