party1,party2
FdI,noparty
M5s,noparty
PD;AVS,noparty
L;Az-Iv,noparty
FI,noparty
L;FdI,noparty
FdI;M5s,noparty
PD,noparty
NM;FI;FdI;PD;L,noparty
Az-Iv,noparty
