source,Party,weight
219802693,Partito Democratico,8
2201962850,Azione - Italia Viva,10
2207177382,Azione - Italia Viva,24
2216179636,Movimento 5s,29
2220186288,Partito Democratico,4
2243577362,Azione - Italia Viva,9
2252146516,Partito Democratico,4
225604191,Azione - Italia Viva,7
22659500,Azione - Italia Viva,11
2268796084,Azione - Italia Viva,73
2283375104,Azione - Italia Viva,21
229160327,Fratelli d'Italia,7
2321981176,Azione - Italia Viva,16
2326573022,Azione - Italia Viva,75
2328729294,Azione - Italia Viva,10
235323455,Partito Democratico,6
2364487620,Azione - Italia Viva,13
236939562,Azione - Italia Viva,17
238604711,Alleanza Verdi Sinistra,6
2399733986,Azione - Italia Viva,6
2416067982,Azione - Italia Viva,35
2420100298,Azione - Italia Viva,5
24388245,Partito Democratico,5
244867902,Azione - Italia Viva,6
2463073418,Forza Italia,24
2466589783,Partito Democratico,20
2479620311,Azione - Italia Viva,74
2480246000,Azione - Italia Viva,18
2496213907,Fratelli d'Italia,9
252676505,Partito Democratico,35
2572422991,Azione - Italia Viva,5
270839361,Lega,35
2719186852,Azione - Italia Viva,29
2772963950,Lega,10
279178016,Fratelli d'Italia,31
279196079,Fratelli d'Italia,11
2844269242,Azione - Italia Viva,28
28528873,Alleanza Verdi Sinistra,44
288115863,Partito Democratico,5
289400495,Movimento 5s,7
291763976,Azione - Italia Viva,8
29442185,Azione - Italia Viva,9
2945479804,Partito Democratico,8
2955233225,Lega,35
2956811146,Azione - Italia Viva,13
2983119910,Azione - Italia Viva,19
2986885877,Azione - Italia Viva,6
2987085023,Azione - Italia Viva,13
3000958830,Azione - Italia Viva,10
3014575779,Azione - Italia Viva,19
3078402187,Fratelli d'Italia,5
3092389516,Azione - Italia Viva,23
3094969685,Azione - Italia Viva,7
3155682418,Lega,30
3194573930,Partito Democratico,6
3239417698,Partito Democratico,5
327471759,Azione - Italia Viva,23
3288652618,Fratelli d'Italia,6
3290984981,Movimento 5s,9
3293203413,Fratelli d'Italia,5
3295067231,Partito Democratico,9
331223753,Partito Democratico,5
332885533,Movimento 5s,8
337095410,Movimento 5s,4
339094915,Azione - Italia Viva,82
3416780741,Fratelli d'Italia,14
3436897611,Azione - Italia Viva,7
349810156,Azione - Italia Viva,9
3546308429,Azione - Italia Viva,5
371781632,Azione - Italia Viva,16
372220527,Azione - Italia Viva,7
3793676127,Azione - Italia Viva,6
382542556,Azione - Italia Viva,7
38415203,Azione - Italia Viva,11
385897719,Partito Democratico,7
386574852,Azione - Italia Viva,11
392987772,Partito Democratico,4
398100478,Azione - Italia Viva,7
4002592367,Movimento 5s,6
401568347,Azione - Italia Viva,22
419622371,Partito Democratico,9
422062831,Azione - Italia Viva,7
424084271,Lega,70
424322762,Azione - Italia Viva,38
428469345,Fratelli d'Italia,7
432010151,Azione - Italia Viva,37
436499309,Azione - Italia Viva,10
442225392,Fratelli d'Italia,8
4480481955,Partito Democratico,7
44886581,Azione - Italia Viva,9
454018747,Azione - Italia Viva,6
455562995,Azione - Italia Viva,10
4579400249,Movimento 5s,4
458347992,Azione - Italia Viva,8
460226131,Azione - Italia Viva,11
46096501,Azione - Italia Viva,23
469286534,Fratelli d'Italia,5
473035394,Azione - Italia Viva,14
478570521,Partito Democratico,5
478723143,Azione - Italia Viva,6
482029224,Partito Democratico,8
4827907465,Azione - Italia Viva,7
4834916637,Partito Democratico,5
4877601425,Partito Democratico,14
492602588,Lega,92
50355977,Partito Democratico,10
507118418,Lega,102
51182604,Azione - Italia Viva,7
520206776,Azione - Italia Viva,6
52484014,Partito Democratico,4
540066448,Partito Democratico,6
541692979,Partito Democratico,6
559675568,Azione - Italia Viva,7
576267509,Azione - Italia Viva,9
586680141,Partito Democratico,4
58776884,Fratelli d'Italia,12
587782008,Azione - Italia Viva,11
5893702,Partito Democratico,4
593711002,Partito Democratico,9
608014210,Azione - Italia Viva,18
614101601,Fratelli d'Italia,6
618244710,Azione - Italia Viva,41
632742781,Partito Democratico,7
703956848836222977,Partito Democratico,4
713816113302388737,Lega,14
722919613,Azione - Italia Viva,28
724648551561728000,Azione - Italia Viva,23
734725512950603776,Azione - Italia Viva,23
737243526983999488,Azione - Italia Viva,7
746638522539466752,Partito Democratico,10
750670310,Azione - Italia Viva,43
752010888,Movimento 5s,9
75299581,Azione - Italia Viva,48
765555246,Movimento 5s,30
779713870877384704,Azione - Italia Viva,9
788101929977180161,Azione - Italia Viva,13
792793865489117184,Fratelli d'Italia,8
793367160341094400,Azione - Italia Viva,12
797679000,Lega,8
805784088040841216,Azione - Italia Viva,36
807179503239888896,Azione - Italia Viva,15
808215598488489984,Azione - Italia Viva,24
81028217,Azione - Italia Viva,8
815552279797448704,Partito Democratico,4
820489519,Lega,15
825986695287959553,Azione - Italia Viva,7
832590570925195266,Azione - Italia Viva,29
835122590,Azione - Italia Viva,21
837023040907116548,Partito Democratico,4
837278820088623104,Partito Democratico,4
843936690,Fratelli d'Italia,5
847121852,Movimento 5s,5
851456364,Azione - Italia Viva,21
852880495792852994,Azione - Italia Viva,5
853916380369956866,Azione - Italia Viva,13
859445258362466305,Fratelli d'Italia,14
878613406022078464,Azione - Italia Viva,23
881033998008373252,Azione - Italia Viva,13
881137152251318272,Azione - Italia Viva,12
886389183929077760,Partito Democratico,15
887300792654475265,Azione - Italia Viva,7
888311462950785024,Azione - Italia Viva,8
89014481,Azione - Italia Viva,7
890906840208474112,Partito Democratico,15
897417492569751552,Azione - Italia Viva,8
898261931475316736,Azione - Italia Viva,9
898851116145946624,Azione - Italia Viva,4
901024626402357248,Azione - Italia Viva,19
904559376,Azione - Italia Viva,4
906331746,Azione - Italia Viva,8
913718930404990977,Fratelli d'Italia,5
924067784,Azione - Italia Viva,16
930194618,Azione - Italia Viva,30
931597488,Azione - Italia Viva,28
934168829047042048,Azione - Italia Viva,7
937058662950100997,Lega,6
943999907949678593,Movimento 5s,6
948578516982956035,Movimento 5s,22
954090832965062657,Azione - Italia Viva,15
964719079,Fratelli d'Italia,19
966302477162303488,Azione - Italia Viva,16
966592213,Azione - Italia Viva,95
967799568015425542,Partito Democratico,5
971075728438710274,Azione - Italia Viva,16
971323446507589632,Azione - Italia Viva,66
971351566325370881,Partito Democratico,25
971365242847617024,Azione - Italia Viva,29
971444556502831105,Azione - Italia Viva,11
977184968693764098,Partito Democratico,5
977474849563140096,Azione - Italia Viva,18
983253218,Movimento 5s,10
986292469682855938,Partito Democratico,7
986594967043956737,Lega,63
989346433,Azione - Italia Viva,19
993804838705213441,Partito Democratico,8
997354591,Partito Democratico,13
998943681964068865,Movimento 5s,15
999578121123848192,Movimento 5s,21
