source,Party,weight
1492979778068140032,Lega,19
1493698125659320320,Partito Democratico,4
1495855082734297088,Partito Democratico,10
149609445,Partito Democratico,5
1496253130446708736,Azione - Italia Viva,18
1496866377910657024,Azione - Italia Viva,9
1497092066886799360,Azione - Italia Viva,7
1497243827207290880,Partito Democratico,10
1498214304860024832,Azione - Italia Viva,13
1498310042809995264,Azione - Italia Viva,16
1499282769393995776,Azione - Italia Viva,8
1500060078925352960,Fratelli d'Italia,7
1502907393897865216,Azione - Italia Viva,12
1509247934784839680,Alleanza Verdi Sinistra,5
1511955619925966848,Partito Democratico,6
1519061685604077568,Fratelli d'Italia,27
1520020230243864576,Partito Democratico,6
152336863,Azione - Italia Viva,6
1527908398578155520,Azione - Italia Viva,6
1530276078,Partito Democratico,4
1530871844,Azione - Italia Viva,19
1532700886245466112,Partito Democratico,5
1540635171682238464,Azione - Italia Viva,6
1541756590545575936,Alleanza Verdi Sinistra,5
1542612311864754176,Fratelli d'Italia,51
1544093054,Azione - Italia Viva,76
1546523344148873216,Azione - Italia Viva,9
1548421651250917376,Azione - Italia Viva,5
1550149539239280640,Azione - Italia Viva,5
1553451882181427200,Partito Democratico,15
1555896828167610368,Azione - Italia Viva,6
1556455656,Azione - Italia Viva,122
1558074222932639744,Azione - Italia Viva,6
1595228996,Azione - Italia Viva,7
1610799896,Azione - Italia Viva,4
1635661050,Azione - Italia Viva,8
1635753799,Fratelli d'Italia,27
1657471614,Fratelli d'Italia,45
167732599,Azione - Italia Viva,32
1696619809,Movimento 5s,25
183287158,Azione - Italia Viva,85
1849326181,Azione - Italia Viva,6
1853644938,Azione - Italia Viva,5
18762875,Azione - Italia Viva,13
1892890674,Azione - Italia Viva,32
1894205886,Azione - Italia Viva,17
1914835855,Azione - Italia Viva,27
1972520815,Partito Democratico,10
210787486,Partito Democratico,5
2156336219,Partito Democratico,4
215976090,Azione - Italia Viva,5
2160946687,Partito Democratico,4
216654596,Azione - Italia Viva,11
2172508827,Fratelli d'Italia,24
2174691850,Fratelli d'Italia,24
2184531680,Fratelli d'Italia,55
2199622261,Lega,8
2201962850,Azione - Italia Viva,15
2207177382,Azione - Italia Viva,11
2216179636,Movimento 5s,32
2220186288,Partito Democratico,4
222217233,Partito Democratico,27
2226315644,Azione - Italia Viva,5
2243577362,Azione - Italia Viva,48
2252146516,Partito Democratico,13
225604191,Azione - Italia Viva,9
22659500,Azione - Italia Viva,28
2268796084,Azione - Italia Viva,100
2283375104,Azione - Italia Viva,26
229160327,Lega,107
2326573022,Azione - Italia Viva,7
2328729294,Azione - Italia Viva,17
2333071543,Lega,9
2338719661,Azione - Italia Viva,6
2349348009,Partito Democratico,5
2352059977,Azione - Italia Viva,8
235323455,Partito Democratico,13
2364487620,Azione - Italia Viva,23
2366790998,Azione - Italia Viva,7
2367102656,Azione - Italia Viva,6
236939562,Azione - Italia Viva,24
2378380248,Partito Democratico,16
23919805,Azione - Italia Viva,8
2398143679,Azione - Italia Viva,7
2399733986,Azione - Italia Viva,70
2403776046,Movimento 5s,31
2416067982,Azione - Italia Viva,38
2418090724,Alleanza Verdi Sinistra,5
2434259124,Azione - Italia Viva,6
24388245,Partito Democratico,4
2439501197,Azione - Italia Viva,6
2463073418,Forza Italia,20
2477333779,Movimento 5s,19
2479620311,Azione - Italia Viva,142
2499664019,Azione - Italia Viva,5
2526923119,Partito Democratico,5
2545184177,Lega,7
256213996,Azione - Italia Viva,10
256998498,Partito Democratico,5
2573038856,Azione - Italia Viva,6
257953952,Azione - Italia Viva,5
2651374166,Forza Italia,6
268516863,Partito Democratico,15
270839361,Lega,29
2719186852,Azione - Italia Viva,49
2731733878,Alleanza Verdi Sinistra,4
2761402156,Fratelli d'Italia,33
2772829228,Movimento 5s,22
2780973340,Partito Democratico,4
2784357288,Movimento 5s,25
2786126790,Azione - Italia Viva,6
279178016,Fratelli d'Italia,31
279459471,Azione - Italia Viva,7
2825937448,Partito Democratico,4
28528873,Alleanza Verdi Sinistra,4
2858584827,Forza Italia,7
2870082475,Movimento 5s,29
2899612829,Fratelli d'Italia,7
291763976,Azione - Italia Viva,27
29442185,Partito Democratico,4
2956811146,Azione - Italia Viva,44
2958168039,Azione - Italia Viva,11
2969541388,Partito Democratico,7
2999929357,Alleanza Verdi Sinistra,5
3000958830,Azione - Italia Viva,5
3003900628,Lega,9
301283324,Azione - Italia Viva,14
3014575779,Azione - Italia Viva,61
3028280830,Movimento 5s,14
3080186967,Lega,7
3094969685,Azione - Italia Viva,5
3120704082,Fratelli d'Italia,7
312613461,Alleanza Verdi Sinistra,4
316578097,Azione - Italia Viva,5
326317244,Alleanza Verdi Sinistra,8
327471759,Azione - Italia Viva,5
3295067231,Partito Democratico,8
331223753,Movimento 5s,19
332723125,Azione - Italia Viva,5
332885533,Movimento 5s,36
3372869746,Lega,10
337767301,Lega,15
339094915,Azione - Italia Viva,30
341709957,Partito Democratico,6
3436897611,Azione - Italia Viva,5
349810156,Azione - Italia Viva,14
350810508,Lega,11
354165740,Partito Democratico,5
3546308429,Azione - Italia Viva,15
3547880116,Alleanza Verdi Sinistra,6
360830746,Lega,5
3613396888,Partito Democratico,15
3688803513,Azione - Italia Viva,42
368956290,Partito Democratico,4
370639956,Azione - Italia Viva,5
371781632,Azione - Italia Viva,27
3719734875,Movimento 5s,29
372220527,Azione - Italia Viva,16
377333871,Movimento 5s,35
382542556,Forza Italia,16
385897719,Partito Democratico,5
391620881,Movimento 5s,22
392987772,Partito Democratico,8
396756630,Movimento 5s,17
401568347,Azione - Italia Viva,7
410607239,Azione - Italia Viva,20
411374950,Partito Democratico,5
4130639901,Alleanza Verdi Sinistra,4
41544005,Alleanza Verdi Sinistra,5
419622371,Partito Democratico,106
4204183834,Lega,9
4228788073,Partito Democratico,4
424084271,Fratelli d'Italia,13
424322762,Azione - Italia Viva,85
425675322,Azione - Italia Viva,56
425686235,Alleanza Verdi Sinistra,5
425906764,Partito Democratico,9
427694799,Partito Democratico,4
430437851,Azione - Italia Viva,5
430544226,Fratelli d'Italia,22
432010151,Azione - Italia Viva,99
436499309,Azione - Italia Viva,14
441948165,Partito Democratico,4
442225392,Fratelli d'Italia,27
442562471,Partito Democratico,4
454018747,Azione - Italia Viva,6
455562995,Azione - Italia Viva,19
4579400249,Movimento 5s,32
458347992,Azione - Italia Viva,15
459584150,Azione - Italia Viva,4
460957400,Lega,8
462808763,Movimento 5s,8
463766278,Partito Democratico,4
464612109,Movimento 5s,33
478570521,Partito Democratico,5
4785762898,Azione - Italia Viva,28
478852714,Movimento 5s,19
4827907465,Azione - Italia Viva,24
483051922,Partito Democratico,9
485586578,Fratelli d'Italia,4
4877601425,Partito Democratico,7
4925616683,Azione - Italia Viva,6
492602588,Lega,121
495072533,Alleanza Verdi Sinistra,5
498090294,Azione - Italia Viva,9
499934461,Partito Democratico,5
50286652,Alleanza Verdi Sinistra,5
50355977,Partito Democratico,8
507118418,Fratelli d'Italia,22
517721087,Fratelli d'Italia,6
519513703,Partito Democratico,6
526643802,Azione - Italia Viva,18
531243852,Lega,9
532302047,Azione - Italia Viva,28
532551857,Fratelli d'Italia,7
540066448,Azione - Italia Viva,13
541824556,Azione - Italia Viva,12
559675568,Azione - Italia Viva,24
560203487,Partito Democratico,4
56392390,Alleanza Verdi Sinistra,6
566308252,Movimento 5s,26
572817456,Alleanza Verdi Sinistra,8
57358236,Fratelli d'Italia,7
579271577,Azione - Italia Viva,13
582152087,Movimento 5s,26
587782008,Azione - Italia Viva,38
588358238,Azione - Italia Viva,25
593966072,Azione - Italia Viva,10
607981040,Movimento 5s,8
618244710,Azione - Italia Viva,156
62285317,Lega,9
634575700,Azione - Italia Viva,10
67280822,Lega,11
706097800040357888,Lega,10
708223810,Lega,7
709020928,Partito Democratico,4
719817768690786304,Azione - Italia Viva,10
722919613,Azione - Italia Viva,29
723898926,Fratelli d'Italia,5
74710460,Lega,9
750670310,Azione - Italia Viva,33
