source,Party,weight
1367133530141188101,Fratelli d'Italia,19
1369741570614976517,Azione - Italia Viva,34
1372830872,Partito Democratico,11
1374054774199492613,Azione - Italia Viva,71
1374652910,Azione - Italia Viva,13
1376558833380757506,Movimento 5s,6
1380142854,Partito Democratico,36
1383472028317982736,Fratelli d'Italia,38
1389244782548033542,Azione - Italia Viva,287
1390254751,Azione - Italia Viva,10
1390662355323924481,Fratelli d'Italia,11
1392484681149558786,Movimento 5s,17
1394750035,Alleanza Verdi Sinistra,13
1397757626,Fratelli d'Italia,71
1405502835001790464,Fratelli d'Italia,26
1405748826,Forza Italia,15
1407264302319517702,Partito Democratico,8
1408136039504433158,Partito Democratico,9
1418890549487099910,Partito Democratico,50
1422930439480778754,Azione - Italia Viva,9
1428657137916518400,Partito Democratico,42
1430495019094482944,Partito Democratico,7
1430796741494939648,Movimento 5s,20
1433561449209626624,Azione - Italia Viva,11
1438184759503556625,Partito Democratico,8
1439821574580883456,Partito Democratico,23
1442587688297582595,Partito Democratico,23
1445262226538049536,Azione - Italia Viva,11
1446413967761498125,Movimento 5s,8
1447233287060180993,Movimento 5s,224
1449609190914338822,Partito Democratico,7
1460329441423507467,Partito Democratico,11
1465578344804761603,Partito Democratico,17
147543162,Forza Italia,63
1480272404299628544,Lega,18
1481689306905387010,Partito Democratico,9
1483550602743451652,Partito Democratico,7
1486033727671181317,Partito Democratico,6
1486339456454074379,Movimento 5s,28
1492979778068140032,Lega,24
1493211520511225859,Fratelli d'Italia,10
1495459368,Azione - Italia Viva,7
149609445,Partito Democratico,30
1497085635873718285,Partito Democratico,4
1497092066886799360,Azione - Italia Viva,24
1497243827207290889,Partito Democratico,80
1497674576997896200,Partito Democratico,8
1498934294173130761,Fratelli d'Italia,8
1499282769393995783,Azione - Italia Viva,16
1502907393897865216,Azione - Italia Viva,51
1509247934784839681,Partito Democratico,7
1514491092334481410,Partito Democratico,43
1517067276960387072,Partito Democratico,22
1518885570461712384,Forza Italia,15
1519061685604077569,Lega,348
1519382878815199233,Forza Italia,11
1520020230243864577,Partito Democratico,25
1520806115470200836,Partito Democratico,8
1523327942272692224,Azione - Italia Viva,11
1525401162228318208,Forza Italia,12
1527908398578155521,Azione - Italia Viva,95
1528726411644751872,Fratelli d'Italia,12
1530276078,Partito Democratico,26
1530871844,Azione - Italia Viva,24
1530983482159247360,Lega,11
1532548856713338885,Forza Italia,26
1532700886245466113,Partito Democratico,28
1537393554850455554,Azione - Italia Viva,9
1540395000797741057,Movimento 5s,20
1542612311864754181,Fratelli d'Italia,49
1544093054,Azione - Italia Viva,315
1546523344148873216,Azione - Italia Viva,72
1547829151100334088,Movimento 5s,8
1548421651250917376,Azione - Italia Viva,185
1549029483348385792,Fratelli d'Italia,6
1553451882181427200,Partito Democratico,50
1555883661613989889,Lega,7
1555896828167610369,Azione - Italia Viva,46
1556204171967201280,Azione - Italia Viva,82
1556455656,Azione - Italia Viva,253
1558074222932639744,Azione - Italia Viva,243
1559258885688623105,Azione - Italia Viva,36
1559467518602911745,Movimento 5s,265
1561784411183583232,Azione - Italia Viva,11
1561968243727912960,Azione - Italia Viva,43
1562440762087813120,Azione - Italia Viva,9
1562451305389379590,Azione - Italia Viva,6
1563485174905548801,Alleanza Verdi Sinistra,8
1563805093195120640,Lega,22
1566454273319247877,Azione - Italia Viva,24
15671893,Partito Democratico,10
1567501160323350531,Azione - Italia Viva,6
1567797606251642881,Partito Democratico,54
