user_id,community_id,most_common_party,all_parties
2510423177,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1062995012,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1267780989440401408,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
589145901,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
843787998818959360,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1197460752241700864,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
773459290417983490,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
561307154,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1331398375,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
346161795,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
3224618207,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1483261821905780737,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
573872757,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1347863503965720577,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
43703232,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
766334088240398336,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
3825988815,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
320181289,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1459479182854041600,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
851233315,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1240600784041058304,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
16309343,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
947379128537411584,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
14073125,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
466348695,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
365657745,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
838029513338540032,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
30585852,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1216148624243118080,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1394732834,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1420532982,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1697854657,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
995401490255802368,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
42619381,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
17876465,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
140517884,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1130107176075321345,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1463260896541560833,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
856153486182031360,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
104129726,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
19018243,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
861212418759962624,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1554575910107549696,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
413051546,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1249064842880782336,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
2469328419,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
566274413,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
2881397140,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
398226503,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
2474293979,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
210477610,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
76913673,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
96338614,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
714981073,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
342251346,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
419443005,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1340044719808802823,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1045342676311314432,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
402659507,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1483373807524093967,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
798933320700661761,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
52402422,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1296136557150310400,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
2429285868,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1854374538,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1241763582217519109,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
2182009663,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
411476842,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
24956825,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
1507117513003479043,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
702832032,0,Azione - Italia Viva,Fratelli d'Italia;Azione - Italia Viva
