user_id,community_id,most_common_party,all_parties
1267780989440401408,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2431061097,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
523431666,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1570012285413769218,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1344231715498299397,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1182950487286571008,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1394677283009478912,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
481558560,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
960936291314659329,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3344219063,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1562347567161430016,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1015884398,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1443665927858438144,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
479832354,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1393543227156873218,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1343122166154452993,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
320603385,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
272941891,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
941230846698278912,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
884011316,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3601606947,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2913833871,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2236327369,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
491461681,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1296819918931931138,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
419859350,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
370763616,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1426437286015770625,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
851233315,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1002211791739457536,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1284529052125212672,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3224199647,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
436833006,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1413535621025513475,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
581752139,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1503820679413649413,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
47373547,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1556958815349866501,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
845923825426583552,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1045944360137895936,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
340175462,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
811541144547037184,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
376145932,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2383609507,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1464791904,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
503845193,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
366258436,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
17876465,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1471521551111503872,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
836001242,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1208458128523743232,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1036714412,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
477187357,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1544713123038388225,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2999709473,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1339896049,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1353089156084342784,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
4452315099,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
743850585410121729,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
861212418759962624,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
264329056,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
102052099,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1199464515211087872,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1162743142799544320,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
391479731,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
382161035,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1253397978527776768,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
142731535,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1508792081808044032,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1349490629324242944,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1272761126208647168,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1114673615717506944,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
443708574,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3363046271,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
421319874,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1858450238,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
769575190468694017,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1221787508998049536,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
161776806,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1562058421066686464,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3290918512,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1161240277283221510,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1229454173986598912,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
483276391,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
537532367,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1465250879523676161,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3021505114,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1259954168,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1360303307919675136,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1340044719808802823,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
3364814494,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
134553074,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
2248600961,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
227633452,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
108396613,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
846663002879377408,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
585674249,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1323551990308311041,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
1334546508,0,Movimento 5s,Movimento 5s;Fratelli d'Italia
