source,target,weight,p_value
1326455841411788801,1326455841411788800,1261,2.596400888136877e-171
1326455841411788800,1125440833099112448,38,7.512022022783487e-09
1326455841411788800,2227488127,26,1.342984760094209e-06
1326455841411788800,126727689,14,0.0008036219649647429
1326455841411788800,1087476792007495680,13,0.0012931711933901124
1326455841411788800,1171784627461251073,13,0.001596052016195985
1326455841411788800,1244249856413179905,9,0.0016613886845014115
1326455841411788800,1174975547614433282,12,0.0031225462238502156
1326455841411788800,1283766291799715843,8,0.0036178215614663485
1326455841411788800,4385611643,7,0.0043275935194430435
1326455841411788800,1241839999345197056,6,0.005547666314255505
1326455841411788800,4160203479,10,0.007435969697121564
1326455841411788800,1492229341828333569,8,0.008803451099196169
1326455841411788800,1386578453831557120,7,0.009401235661917123
1326455841411788800,1544669729155055616,7,0.012385785135675264
1326455841411788800,1383177175369711617,6,0.014111601491030318
1326455841411788800,1435715007744983051,6,0.014289876612402332
1326455841411788800,1701836234,6,0.018013741887825317
1326455841411788800,517932775,6,0.018908409944274403
1326455841411788800,716243750,7,0.023503948019670904
1326455841411788800,231876707,6,0.030434217212094737
1326455841411788800,424084271,10,0.03873163389031636
1024976264,130537001,466,8.36757586936011e-75
1024976264,998237902055395200,176,1.2593942810801096e-28
1024976264,1657471614,199,5.464138660628199e-19
1024976264,440815818,101,5.092797856206972e-18
1024976264,2184531680,95,1.3410845219904783e-17
1024976264,376610294,111,4.311827707532884e-17
1024976264,792793865489117184,112,9.853975670040026e-16
1024976264,1062583370,158,3.3041768794813876e-15
1024976264,507118418,141,1.2137311391987687e-13
1024976264,135560321,61,1.29752944406758e-13
1024976264,279178016,132,8.165779878126846e-13
1024976264,1006296722,41,1.4984520346258779e-12
1024976264,373947833,36,1.9306713057278802e-12
1024976264,1542612311864754181,127,2.3535503957452495e-12
1024976264,919526072,55,2.450861935474428e-12
1024976264,1397757626,107,3.2135760405669335e-12
1024976264,964719079,96,2.501076983925926e-11
1024976264,1383472028317982736,113,4.55175048932739e-11
1024976264,457827532,38,4.696246925942443e-11
1024976264,1040271648082067584,51,6.602801694641178e-11
1024976264,1490653054605176833,57,8.883536108257786e-11
1024976264,247222140,109,1.0605393510127282e-10
1024976264,156993070,73,1.5533624420045653e-10
1024976264,1363984487822946304,107,1.6186984512976464e-10
1024976264,2174691850,80,2.0939345434170777e-10
1024976264,1030124031733911553,104,3.051974885507631e-10
1024976264,1519191300586754050,74,3.352997146684849e-10
1024976264,859445258362466305,91,5.846003098945243e-10
1024976264,4382443697,57,6.014372431702886e-10
1024976264,102342867,41,7.899264015230259e-10
1024976264,78567974,55,1.2003158528667648e-09
1024976264,945729890,42,1.3231918397328728e-09
1024976264,1230138367767121921,40,2.3694694768341766e-09
1024976264,1518885570461712384,94,2.5249461494010717e-09
1024976264,479830985,37,2.7961480382571297e-09
1024976264,897701751364743170,64,3.1384782434233425e-09
1024976264,1313136197594746880,59,3.5055087260855846e-09
1024976264,518486571,35,5.284798498872702e-09
1024976264,1462014699797680130,90,5.877024573297648e-09
1024976264,1559966984212725764,30,8.549402357658436e-09
1024976264,442225392,88,8.965515751362963e-09
1024976264,412501254,50,1.0217743951158554e-08
1024976264,1172065298473717761,42,1.144693049726898e-08
1024976264,1168042548113358849,48,1.4276875082964956e-08
1024976264,1064269692,24,2.8978111464379112e-08
1024976264,1519382878815199233,80,4.8530379555112575e-08
1024976264,1503423117733023753,62,4.8604170270249195e-08
1024976264,952222190979702784,27,6.391911793162252e-08
1024976264,1039438621982502784,55,1.1204746683069954e-07
1024976264,194600529,73,2.125529466844049e-07
1024976264,614101601,29,2.3153539002753124e-07
1024976264,859778428991569920,31,2.384185791015625e-07
1024976264,1052650359217360901,27,2.4619859274490486e-07
1024976264,1367806057146417158,30,2.589335110121543e-07
1024976264,1200762016367025920,37,2.674352546428691e-07
1024976264,361788030,20,3.669656105097171e-07
1024976264,1003880257743720448,28,3.8650015680972777e-07
1024976264,399780894,23,4.2353364938504607e-07
1024976264,2876208495,25,4.647886785263841e-07
1024976264,58776884,46,5.475155536496126e-07
1024976264,1485525135365128192,59,5.892012793433024e-07
1024976264,1184807557380091905,68,6.102024213622859e-07
1024976264,519867330,24,7.37823169963336e-07
1024976264,17242197,20,7.481689913417118e-07
1024976264,950438952288374784,34,7.894326517782952e-07
1024976264,1710348528,66,9.303278344855001e-07
1024976264,1014149572669657088,42,1.0150271100604001e-06
1024976264,1509078193009008643,55,1.1410542302588848e-06
1024976264,1059542485448474624,23,1.2220865256690657e-06
1024976264,2725216048,34,1.3431468910666848e-06
1024976264,460408246,23,1.3585378416856689e-06
1024976264,1207693260484943875,23,1.4381581318524318e-06
1024976264,123090821,63,1.7511995332822553e-06
1024976264,1059542485448474626,59,1.8570820712903037e-06
1024976264,1462014699797680128,24,1.874895642941905e-06
1024976264,1487750902916206592,23,2.1574322190131718e-06
1024976264,702661167,20,2.9917411734744725e-06
1024976264,1262847241125015552,23,3.0083246302873003e-06
1024976264,3033453713,31,3.881767101315313e-06
1024976264,1166765394977275904,57,4.075112099487356e-06
1024976264,846325971397623808,16,4.191825042257323e-06
1024976264,121424128,23,4.843056014607215e-06
1024976264,3416780741,48,5.497895451822097e-06
1024976264,1554057244509184000,38,5.768534144403881e-06
1024976264,25508589,34,6.112049046263694e-06
1024976264,1346540420579340289,20,7.247639918430043e-06
1024976264,318469074,26,8.729752611715549e-06
1024976264,4755949588,19,1.0745617611879651e-05
1024976264,1277303148,20,1.0929351709682301e-05
1024976264,962351471416283136,46,1.3408780215516662e-05
1024976264,1555883661613989889,24,1.4763346850097388e-05
1024976264,1094304206897496066,27,1.645751816890769e-05
1024976264,1058863165,42,1.728425786946697e-05
1024976264,1308700248181821440,52,1.7787754259751385e-05
1024976264,875181270,22,1.9264775414681555e-05
1024976264,3288652618,37,1.95833096856799e-05
1024976264,429063865,30,2.04074129488385e-05
1024976264,1924398546,21,2.063333988006733e-05
1024976264,526838409,21,2.1116849180393357e-05
1024976264,534770413,14,2.3837831494251845e-05
1024976264,123920914,33,2.459409333880153e-05
1024976264,4021937662,50,2.7108014237664553e-05
1024976264,1110627081292079232,16,2.880452814151321e-05
1024976264,1430968548080369664,20,3.09159715819082e-05
1024976264,1332344638355738627,26,3.186481935625073e-05
1024976264,1176618985,26,3.622907904394575e-05
1024976264,467573735,17,3.9456042003567436e-05
1024976264,146030638,48,4.130961311020197e-05
1024976264,270320590,37,4.5910448833743696e-05
1024976264,3356663781,14,4.880657701673592e-05
1024976264,422576910,18,5.0759813244505497e-05
1024976264,1101905808,16,5.50766553016044e-05
1024976264,279196079,44,5.628841309637472e-05
1024976264,497382096,16,5.810835982690562e-05
1024976264,2447574735,13,5.9744800759857635e-05
1024976264,1160496943,17,6.0083355765947207e-05
1024976264,852610201,21,6.266382852533018e-05
1024976264,86028099,11,6.332651286956777e-05
1024976264,2343639954,12,6.397998791520407e-05
1024976264,963763975136694272,24,6.399999999999992e-05
1024976264,1354360080989364225,38,7.438918951813077e-05
1024976264,359933447,13,7.806311134480257e-05
1024976264,868257973,16,8.09141525721481e-05
1024976264,1728224730,21,9.167865926616695e-05
1024976264,214476890,12,9.667260051338042e-05
1024976264,418028983,15,0.000100698707988564
1024976264,1340043277433757707,43,0.00011839500775245721
1024976264,367021544,14,0.00012459741653916639
1024976264,1383472028317982720,18,0.00013067308009269085
1024976264,52886244,38,0.00013809691706862873
1024976264,108663704,21,0.00014059743693355052
1024976264,1371084660722262016,39,0.00014748168572188382
1024976264,1476956411728998400,13,0.00016694483233487337
1024976264,2899612829,17,0.00016787395699238453
1024976264,1516313328020295680,29,0.0001737600167707878
1024976264,1023972842948452352,15,0.00017461077913270877
1024976264,343442484,41,0.0001798679094907544
1024976264,403051679,12,0.0001819435683168988
1024976264,1033719083445964801,28,0.00020243559516610438
1024976264,1093521571581493248,18,0.0002209686914015904
1024976264,3036230170,12,0.00022199910792198313
1024976264,440896779,12,0.00022222816901914367
1024976264,1535717585223929856,21,0.00022440530031644598
1024976264,2955103529,15,0.00022485359098617613
1024976264,564859982,13,0.00024004150350627422
1024976264,427116433,9,0.00025462417489886113
1024976264,1529605532700614659,19,0.0002844940150886125
1024976264,570163803,10,0.000313337362930668
1024976264,2496002029,14,0.00032303801460634233
1024976264,272317881,10,0.00035425685861853885
1024976264,1404716149225529344,18,0.0003571614332204161
1024976264,1177290360877453312,24,0.00037563636866629903
1024976264,2376293973,22,0.0004026969863521196
1024976264,1366534330596679680,10,0.00040564819207303417
1024976264,1034105376109735937,32,0.0004144156634656115
1024976264,1040271648082067456,13,0.00041893528814520876
1024976264,913437439213129729,17,0.0004618203595766597
1024976264,1466839349379620864,11,0.00047248460888654916
1024976264,21649633,36,0.0005167560825387237
1024976264,493029817,15,0.0005665055042385646
1024976264,189601003,34,0.0005720164122872084
1024976264,1050393979777441792,11,0.0005724400345816959
1024976264,1562424400644755457,11,0.0005794554094076454
1024976264,1851101192,12,0.0005925414422464346
1024976264,1191647125899272192,16,0.0006549779494381152
1024976264,1255171750079406081,16,0.0006697122069446118
1024976264,2383636526,17,0.0006733258309897473
1024976264,407746253,19,0.0007136756633206762
1024976264,348979316,9,0.0007210070053945367
1024976264,1065679819,20,0.0007364515532167129
1024976264,1561648640816455680,15,0.0007737758975721004
1024976264,908445731891146753,14,0.0008226559192643076
1024976264,1351770758,17,0.000843685220127404
1024976264,1560154380,13,0.0008734272755960016
1024976264,2173750477,12,0.0009854018143678233
1024976264,204814083,10,0.0010291707260185925
1024976264,1257476581,11,0.0011496415260861222
1024976264,2281081639,17,0.0011923614859138997
1024976264,820489519,28,0.0012454621035245543
1024976264,907486579836510208,14,0.001274473528905962
1024976264,3142040746,9,0.0012851591980831756
1024976264,1635753799,14,0.0013140559531752507
1024976264,248785588,15,0.001383216511125041
1024976264,487653402,12,0.0014129928947459497
1024976264,1395756943,10,0.0014498757309987789
1024976264,870620564444119040,31,0.0014798609057948952
1024976264,857240255283548160,31,0.0014798609057948952
1024976264,1206275501452677122,12,0.0015224388403474475
1024976264,2453173875,20,0.0015523924703772659
1024976264,275434452,8,0.0016046922238379699
1024976264,1127210403489034241,17,0.001694132686320837
1024976264,609953857,14,0.0017163780166626968
1024976264,859445258362466304,16,0.0017746107975182715
1024976264,501012427,14,0.0017909836964211281
1024976264,484611460,17,0.0018046681231622518
1024976264,1519061685604077569,30,0.0018263778227236387
1024976264,1556585763965485057,30,0.0018263778227236387
1024976264,1019916924724146176,16,0.0019182488684530248
1024976264,955460003992887296,15,0.001953125
1024976264,968087978,16,0.002041201412606069
1024976264,716353562020855810,14,0.002054228462330412
1024976264,56341776,9,0.0020811340537797633
1024976264,1297852337055248384,10,0.0023419807605495405
1024976264,96379144,7,0.0025621168668890316
1024976264,349642471,19,0.0025661181972397498
1024976264,2775570406,9,0.0025870355456540854
1024976264,1345474182684016642,15,0.0026345629694664975
1024976264,219226566,9,0.0026425926551311247
1024976264,716243750,11,0.002708642921436676
1024976264,1565418148802822145,27,0.0027403739580578157
1024976264,2955233225,19,0.0029623568016149417
1024976264,921708443165175808,12,0.003064443281021855
1024976264,201220925,7,0.0033502696268909206
1024976264,571602090,8,0.003387929228154598
1024976264,105160245,12,0.003425487390781756
1024976264,1474804613673103371,27,0.0034329316458727686
1024976264,1492606639928750083,22,0.003459021086065995
1024976264,1564631501014196226,12,0.003575880932563278
1024976264,1505123666752942081,11,0.0035775706037615824
1024976264,308905321,10,0.0036332086465304635
1024976264,1097460221621010432,18,0.0036950177935813895
1024976264,50568255,10,0.00371935014705155
1024976264,700030423,7,0.00402650482036985
1024976264,1486277270671171584,15,0.0040900085369609184
1024976264,1495605808356335616,20,0.004098480184664168
1024976264,1568592910769168384,10,0.004115226337448562
1024976264,1175424633379729410,26,0.004236544622398804
1024976264,2585597700,10,0.004295626600866302
1024976264,751891454650441729,7,0.004364090489898964
1024976264,2177406618,21,0.004694980598609598
1024976264,431167881,7,0.004960332468155193
